Maine Senate - District 1,,,,Maine House of Representatives - District 1,,
,,,,Maine House of Representatives - District 108,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Maureen Fitzgerald Terry,No response
,,,,,,
,,,,Maine House of Representatives - District 109,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Jim Boyle,Answers
,,,,R,Joseph Velozo,No response
,,,,,,
,,,,Maine House of Representatives - District 110,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Scott Jordan,No response
,,,,D,Stephen W. Moriarty,Answers
,,,,,,
,,,,Maine House of Representatives - District 111,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Amy D. Kuhn,Answers
,,,,R,Jeffrey York,No response
,,,,,,
,,,,Maine House of Representatives - District 112,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Tammy Ryan,No response
,,,,D,W. Edward Crockett,No response
,,,,,,
,,,,Maine House of Representatives - District 113,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Grayson B. Lookner,No response
,,,,,,
,,,,Maine House of Representatives - District 114,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Benjamin Thomas Collings,No response
,,,,R,Daniel L Merrill,No response
,,,,,,
,,,,Maine House of Representatives - District 115,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Michael F. Brennan,No response
,,,,,,
,,,,Maine House of Representatives - District 116,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Dale Jay Holman,No response
,,,,D,Samuel Lewis Zager,Answers
,,,,,,
,,,,Maine House of Representatives - District 117,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Matthew Moonen,No response
,,,,,,
,,,,Maine House of Representatives - District 118,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Rachel Talbot Ross,No response
,,,,,,
,,,,Maine House of Representatives - District 119,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Charles A Skold,No response
,,,,R,Peter Ignatius Doyle,No response
,,,,,,
,,,,Maine House of Representatives - District 120,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Deqa Dhalac,Answers
,,,,R,Michael James Dougherty,No response
,,,,,,
,,,,Maine House of Representatives - District 121,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Christopher Kessler,No response
,,,,R,Tammy Bonneau Walter,No response
,,,,,,
,,,,Maine House of Representatives - District 122,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Lois Galgay Reckitt,Answers
,,,,,,
,,,,Maine House of Representatives - District 123,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Annie Christy,No response
,,,,D,Rebecca Millett,Answers
,,,,,,
,,,,Maine House of Representatives - District 124,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Lisa Lynn Marie Markowski,No response
,,,,D,Sophia B. Warren,Answers
,,,,,,
,,,,Maine House of Representatives - District 125,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Alan Robert Livingston,No response
,,,,D,Kelly Noonan Murphy,Answers
,,,,,,
,,,,Maine House of Representatives - District 126,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Drew M Gattine,No response
,,,,,,
,,,,Maine House of Representatives - District 127,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Morgan Rielly,Answers
,,,,R,Ryan Poitras,No response
,,,,,,
,,,,Maine House of Representatives - District 128,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Charles Ellis,No response
,,,,D,Suzanne Salisbury,No response
,,,,,,
,,,,Maine House of Representatives - District 129,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Margaret O'Neil,Answers
,,,,R,Stephen Robert DuPuis,No response
,,,,,,
,,,,Maine House of Representatives - District 130,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Lynn H. Copeland,No response
,,,,R,Theodore L Sirois,Answers
,,,,,,
,,,,Maine House of Representatives - District 131,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Lori Kathryn Gramlich,Answers
,,,,R,Scott Eccleston,No response
,,,,,,
,,,,Maine House of Representatives - District 132,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Erin Sheehan,Answers
,,,,R,Timothy S. Keenan,No response
,,,,,,
,,,,Maine House of Representatives - District 133,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,"Marc G. Malon, II",Answers
