,Party,Polarization,Unanimity,Yes polarization,Republican yes votes,Republican no votes,Democratic yes votes,Democratic no votes,Republican yes,Democratic yes,Party polarization,Title,title_w_breaks,Date,Session,Key,Democratic votes yes/no,Republican votes yes/no
1746,Democratic,-0.8548387096774194,1.0,-0.8548387096774194,9,53,68,0,0.14516129032258066,1.0,-0.8548387096774194,An Act To Delay Further The Implementation Of Certain Portions Of The Marijuana Legalization Act,An Act To Delay Further The<br>Implementation Of Certain<br>Portions Of The Marijuana<br>Legalization Act,2017-10-23,128,08d91b92-63d1-4e86-90fd-3f082eae1ec7,68/0,9/53
912,Democratic,-0.855072463768116,0.9565217391304348,-0.855072463768116,7,62,66,3,0.10144927536231885,0.9565217391304348,-0.855072463768116,An Act To Increase The Penalties For Hunting Deer Over Bait,An Act To Increase The<br>Penalties For Hunting Deer<br>Over Bait,2017-05-16,128,009e3ebf-c03f-4a67-be85-a15dc8b1bf7d,66/3,7/62
1178,Democratic,-0.855072463768116,1.0,-0.855072463768116,10,59,69,0,0.14492753623188406,1.0,-0.855072463768116,An Act To Help Municipalities Prepare For Sea Level Rise,An Act To Help Municipalities<br>Prepare For Sea Level Rise,2017-05-23,128,91ea1089-6cce-42a2-9f1a-efaf7eba1ef4,69/0,10/59
1726,Democratic,-0.856503198294243,0.8714285714285714,-0.856503198294243,1,66,61,9,0.014925373134328358,0.8714285714285714,-0.856503198294243,An Act To Provide The State The Right Of First Refusal For The Purchase Of Certain Land On Which A Subsidy Has Been Paid,An Act To Provide The State<br>The Right Of First Refusal For<br>The Purchase Of Certain Land<br>On Which A Subsidy Has Been<br>Paid,2018-04-13,128,f3383774-e637-401d-bc05-906e04d6d2e9,61/9,1/66
1376,Democratic,-0.8571428571428571,0.8571428571428571,-0.8571428571428571,0,16,12,2,0.0,0.8571428571428571,-0.8571428571428571,An Act To Repeal The Ranked-Choice Voting Law,An Act To Repeal The Ranked-<br>Choice Voting Law,2017-06-28,128,a5c2bd38-8500-4c1f-84d3-58fd54186e08,12/2,0/16
1606,Democratic,-0.8571428571428572,1.0,-0.8571428571428572,10,60,68,0,0.14285714285714285,1.0,-0.8571428571428572,An Act To Increase Access To Head Start,An Act To Increase Access To<br>Head Start,2017-05-17,128,8a253e55-7be8-4d98-8c99-59e14aa7b719,68/0,10/60
1116,Democratic,-0.8571428571428572,1.0,-0.8571428571428572,8,48,67,0,0.14285714285714285,1.0,-0.8571428571428572,An Act To Prohibit Campaign Fund-Raising At The Voting Place,An Act To Prohibit Campaign<br>Fund-Raising At The Voting<br>Place,2018-07-09,128,5d064081-946e-4863-8af8-b2ad1a85bdb8,67/0,8/48
1816,Democratic,-0.8615384615384616,1.0,-0.8615384615384616,9,56,68,0,0.13846153846153847,1.0,-0.8615384615384616,An Act To Amend The Property Tax Laws,An Act To Amend The Property<br>Tax Laws,2017-05-30,128,45b64295-08c3-43c4-b0d0-99e60b4f3596,68/0,9/56
1432,Democratic,-0.8507462686567164,1.0,-0.8507462686567164,10,57,70,0,0.14925373134328357,1.0,-0.8507462686567164,"An Act To Provide Emergency Repair Funding For The Restoration Of The Official State Vessel, The Schooner Bowdoin","An Act To Provide Emergency<br>Repair Funding For The<br>Restoration Of The Official<br>State Vessel, The Schooner<br>Bowdoin",2017-05-31,128,8a767674-88ac-4231-846c-c674bb1e1aeb,70/0,10/57
1142,Democratic,-0.85,1.0,-0.85,9,51,69,0,0.15,1.0,-0.85,An Act To Restore Maine's School-Based Health Centers,An Act To Restore Maine's<br>School-Based Health Centers,2018-03-15,128,dde27ad5-7152-4788-aa11-9e201d235e39,69/0,9/51
