Vote key,Vote polarization,Democratic yes votes,Democratic no votes,Republican yes votes,Republican no votes,Title,Date,Session
a2863ee5-99a0-4dda-bc23-2e735a3f86cd,-1.0,21,0,0,13,An Act To Bring Gender Parity To Corporate Boards,2021-06-15,130
9d7150e0-776a-4680-9c1f-ab52c2b22397,-0.970357454228422,73,1,1,61,An Act To Strengthen The Individualized Education Program Process,2021-06-30,130
ab29290a-f1f4-49b0-94c7-7d923d0f2fd0,-1.0,22,0,0,12,"Resolve, To Study Best Practices And Different Area Needs For Development Of Affordable Homes And Expanding Home Ownership In Maine Communities",2021-06-10,130
4999a7da-d474-4397-aba0-29adae543e49,-0.9667713239141812,77,1,1,48,"Resolution, Proposing An Amendment To The Constitution Of Maine To Establish A Right To A Healthy Environment",2021-04-28,130
6e689dc5-c807-4543-b0c0-fff2c37c2b49,-1.0,22,0,0,12,An Act To Strengthen Maine's Election Laws By Requiring Photographic Identification For The Purpose Of Voting,2021-06-08,130
a1db34c8-3a12-474a-ae4e-77f33f62d1be,-0.9703463203463204,76,1,1,59,An Act To Change The Standard For Assessing Risk Of Serious Harm,2021-06-14,130
9f22319f-81b1-4c7c-84e6-37a17681f4cb,-0.970392619609526,78,1,1,58,"Resolution, Proposing An Amendment To The Constitution Of Maine To Allow The Citizens Of The State To Elect The Secretary Of State, Treasurer Of State And Attorney General",2021-06-15,130
6f3b7ce9-5cdd-4466-ab88-d590fa79580a,-1.0,20,0,0,12,An Act To Allow Employers To Shop For Competitive Health Plan Options,2021-06-09,130
0d2f3ab0-4fb2-4eb4-bc6a-cc3a979e1614,-1.0,21,0,0,13,An Act Regarding Civil Mental Health Evaluations Of Former Criminal Defendants,2021-06-15,130
a26061b3-e749-4a2d-803a-267e5e8db132,-0.969600725952813,75,1,1,57,An Act Relating To Fair Chance In Employment,2021-06-30,130
9d65f006-22f2-4c6d-be1f-301018c774d8,-0.969484629294756,78,1,1,55,An Act To Facilitate The Recycling Of Clean Energy Equipment,2021-06-15,130
7407bad5-23f4-460a-b080-9bd26faa4695,-0.9701104613385314,80,1,1,56,An Act To Ensure The Right To Work Without Payment Of Dues Or Fees To A Labor Union,2021-04-28,130
ecc0674e-568c-4b3c-8b80-d46984bb2f51,-0.9655172413793104,77,0,2,56,"An Act To Provide Funding To Support The Permanent Commission On The Status Of Racial, Indigenous And Maine Tribal Populations",2021-06-16,130
1591e149-4b17-460b-839d-e4a9bff38c7d,-0.9642857142857144,75,0,2,54,An Act To Extend Family Medical Leave To Hourly School Employees,2021-06-17,130
1bad19a7-c14e-4efc-ada3-aebf5f7cf8ff,-1.0,74,0,0,51,An Act To Establish The Board Of Canvassers For Certifying Election Results,2021-06-09,130
3a27f24e-25f4-406c-bffd-99bc6ad4fb26,-0.9625,77,3,0,60,"Resolution, Proposing An Amendment To The Constitution Of Maine To Specify The Qualifications Of Electors",2021-03-11,130
421b5c56-4438-450b-874d-6880acef1593,-1.0,22,0,0,13,An Act To Remove Sales And Use Taxation On Monetary Metals,2021-06-08,130
94faaf6a-a10d-471b-b3d1-d21f738d1b05,-1.0,20,0,0,11,An Act To Increase Transparency Of And Lower Health Care Costs,2021-06-09,130
0f6c2f2a-edfd-4052-9217-867cb5051325,-0.9620253164556962,76,3,0,55,An Act To Ensure Municipal Compliance With Federal Immigration Laws,2021-06-02,130
46b33801-73cf-49c2-8a21-42f28e6614c9,-0.9642857142857144,71,0,2,54,An Act To Amend The Election Laws,2022-03-31,130
9ecab659-0a18-4d75-ac0c-c5a00a233ed5,-0.9702303346371144,77,1,1,58,An Act To Let The Citizens Of The State Choose Their State Auditor,2021-06-15,130
8fea0db6-1f2a-4461-b5c5-115b4d88904f,-0.9677339290146438,78,1,1,50,An Act To Protect The Privacy Of Absentee Voters,2021-06-02,130
f1f18b1a-7ed8-4ef5-b1c6-176787615251,-0.9686602870813396,75,1,1,54,An Act To Establish A System Of Proportional Fines And To Repeal Certain Fees And Assessments,2021-06-17,130
cc18c017-82c9-4e18-a4a4-a67e8dda6fc2,-0.9625,77,3,0,62,An Act Regarding The Transportation Of Products In The Forest Products Industry,2021-06-02,130
81d52939-f3d0-4101-b161-207551b06937,-0.967741935483871,80,0,2,60,An Act To Conform The Maine Apprenticeship Program To The Federal Equal Employment Opportunity Act Of 1972,2021-05-19,130
c80d1ad3-dd80-4a7b-84a3-b269bdfa09b0,-1.0,21,0,0,13,An Act Regarding Penalties For Early Retirement For Certain Members Of The Maine Public Employees Retirement System,2022-03-22,130
89d6d997-5300-4846-a2d8-510dfd22c8d3,0.1666666666666666,7,14,7,7,An Act To Expand Options For Consumers Of Cable Television In Purchasing Individual Channels And Programs,2019-05-29,129
3f5d37cc-5ff5-4d59-905d-b9597acbb2b5,-1.0,21,0,0,14,An Act To Remove Certain Restrictions Imposed On Retired State Employees Who Return To Work As Educators,2019-06-12,129
a846c034-d128-445d-a22e-a02777c6e53b,-0.7857142857142857,21,0,3,11,An Act Concerning Nondisclosure Agreements In Employment,2019-06-10,129
2355ad88-3312-4961-8e5e-9475e2a7d77f,-0.7857142857142857,21,0,3,11,An Act To Expand Access To Head Start To Assist Opioid-Affected And Other At-Risk Families,2019-05-21,129
8b09014d-eae8-4273-a502-b5b779c2392d,-0.7777777777777778,81,0,12,42,An Act To Fully Fund And Restore State-Municipal Revenue Sharing,2019-05-28,129
63151561-980e-4101-b646-ec847e264c5a,-0.7857142857142857,18,3,1,13,An Act To Enact The Maine Death With Dignity Act,2019-06-04,129
76afcc4a-97ad-4803-95d3-2c5bfb6e4519,-0.7857142857142857,18,3,1,13,An Act To Protect Maine Children And Students From Preventable Diseases By Repealing Certain Exemptions From The Laws Governing Immunization Requirements,2019-05-23,129
b1178abf-55f6-47f7-b480-59651a41f48b,0.1996900025833117,60,19,47,2,An Act To Establish Open Primaries For Certain Federal And State Offices,2019-05-23,129
9daa3146-6f2d-467d-89e1-8c53620891fa,-0.9491927825261158,80,1,2,50,An Act To Establish The Summer Success Program Fund,2019-05-07,129
77f77cac-5cdb-4abe-950f-ae1520ce07d1,-0.9490196078431372,84,1,2,49,An Act To Amend The Laws Governing Investigations By School Entities Into Holders Of Credentials,2019-06-13,129
4ed50268-7def-46fd-8acb-398abffc20e7,0.2173399480274037,8,75,16,35,An Act To Restore The Former State Of Maine Flag,2019-04-11,129
472bb280-f4b8-41ad-9e0b-8de9f95bb52f,-0.7802577082374598,81,1,11,42,An Act To Protect Water Quality By Standardizing The Law Concerning Septic Inspection In The Shoreland Zone,2019-03-26,129
