,Party,Polarization,Unanimity,Yes polarization,Republican yes votes,Republican no votes,Democratic yes votes,Democratic no votes,Republican yes,Democratic yes,Party polarization,Title,title_w_breaks,Date,Session,Key,Democratic votes yes/no,Republican votes yes/no
2104,Democratic,-1.0,1.0,-1.0,0,58,78,0,0.0,1.0,-1.0,An Act To Protect Taxpayers In The Privatization Of Services And To Establish The State Procurement Review Committee,An Act To Protect Taxpayers In<br>The Privatization Of Services<br>And To Establish The State<br>Procurement Review Committee,2021-06-16,130,965d1c7c-ef82-4eca-849e-d88c80f37212,78/0,0/58
2640,Democratic,-1.0,1.0,-1.0,0,12,21,0,0.0,1.0,-1.0,An Act To Clarify Prepayment Requirements In Home Construction Contracts,An Act To Clarify Prepayment<br>Requirements In Home<br>Construction Contracts,2021-06-07,130,5d566d64-ef93-4350-a3f3-bfec34513d1d,21/0,0/12
2052,Democratic,-1.0,1.0,-1.0,0,54,69,0,0.0,1.0,-1.0,An Act To Provide Electronic Access To Confidential Juror Information,An Act To Provide Electronic<br>Access To Confidential Juror<br>Information,2022-03-31,130,b1a759cd-a329-4f28-b996-8c7ee1200a72,69/0,0/54
1960,Democratic,-1.0,1.0,-1.0,0,12,18,0,0.0,1.0,-1.0,"Adjournment Order - Adjourned Until The Call Of The President Of The Senate And The Speaker Of The House, Respectively","Adjournment Order - Adjourned<br>Until The Call Of The<br>President Of The Senate And<br>The Speaker Of The House,<br>Respectively",2022-04-25,130,ddd362f3-1d98-46d1-a9c9-943f6a27272c,18/0,0/12
2428,Democratic,-1.0,1.0,-1.0,0,12,22,0,0.0,1.0,-1.0,An Act To Promote The Sustainability Of Unemployment Insurance By Linking The Duration Of Benefits To The State's Average Unemployment Rate,An Act To Promote The<br>Sustainability Of Unemployment<br>Insurance By Linking The<br>Duration Of Benefits To The<br>State's Average Unemployment<br>Rate,2021-06-10,130,f1eb5bf8-cb61-4c36-8ca1-935d411f0020,22/0,0/12
2430,Democratic,-1.0,1.0,-1.0,0,12,22,0,0.0,1.0,-1.0,An Act To Preserve Fair Housing In Maine,An Act To Preserve Fair<br>Housing In Maine,2021-06-10,130,7085429a-1f10-49ef-89ce-5fdcc9805e7e,22/0,0/12
2638,Democratic,-1.0,1.0,-1.0,0,42,70,0,0.0,1.0,-1.0,An Act To Provide More Options To Maine Electric Service Customers And Support Maine's Climate Goals,An Act To Provide More Options<br>To Maine Electric Service<br>Customers And Support Maine's<br>Climate Goals,2022-04-07,130,68cc5e45-1df0-469f-be13-3be266ce80dd,70/0,0/42
2468,Democratic,-1.0,1.0,-1.0,0,11,22,0,0.0,1.0,-1.0,An Act Regarding Collective Bargaining Negotiations By Public Employers Of Teachers,An Act Regarding Collective<br>Bargaining Negotiations By<br>Public Employers Of Teachers,2021-05-19,130,06ca3742-f7f4-4cc7-94f4-2252f267c147,22/0,0/11
2630,Democratic,-1.0,1.0,-1.0,0,13,21,0,0.0,1.0,-1.0,An Act To Improve Camping Opportunities In Maine By Exempting Certain Campground Rental Fees From The Sales And Use Tax,An Act To Improve Camping<br>Opportunities In Maine By<br>Exempting Certain Campground<br>Rental Fees From The Sales And<br>Use Tax,2021-06-03,130,5482386c-dd7d-409f-80e5-6a3f384f53ec,21/0,0/13
2624,Democratic,-1.0,1.0,-1.0,0,13,22,0,0.0,1.0,-1.0,"Resolve, Directing The State Board Of Education To Adopt Rules Prohibiting Teachers In Public Schools From Engaging In Political, Ideological Or Religious Advocacy In The Classroom","Resolve, Directing The State<br>Board Of Education To Adopt<br>Rules Prohibiting Teachers In<br>Public Schools From Engaging<br>In Political, Ideological Or<br>Religious Advocacy In The<br>Classroom",2021-06-08,130,79a5a9e0-401e-4987-be7c-bda4cad5d31d,22/0,0/13
